svara,cluster,prec,suc,precsuc,filepath,precdir,sucdir,precsucdir
ga,ga_cluster_6,ri,ri,ri_ri,ga/cluster_6/ri_163_ri.png,asc,desc,same
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_149_ma.png,asc,asc,asc
ga,ga_cluster_6,sa,ri,sa_ri,ga/cluster_6/sa_165_ri.png,asc,desc,asc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_50_ma.png,asc,asc,asc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_92_ri.png,desc,desc,desc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_54_ma.png,asc,asc,asc
ga,ga_cluster_6,silence,ri,silence_ri,ga/cluster_6/silence_0_ri.png,from_silence,desc,from_silence
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_171_ma.png,asc,asc,asc
ga,ga_cluster_6,sa,ri,sa_ri,ga/cluster_6/sa_167_ri.png,asc,desc,asc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_109_ri.png,desc,desc,desc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_86_ri.png,desc,desc,desc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_48_ma.png,asc,asc,asc
ga,ga_cluster_6,sa,ri,sa_ri,ga/cluster_6/sa_166_ri.png,asc,desc,asc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_94_ri.png,desc,desc,desc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_91_ri.png,desc,desc,desc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_112_ri.png,desc,desc,desc
ga,ga_cluster_6,ma,silence,ma_silence,ga/cluster_6/ma_180_silence.png,desc,to_silence,to_silence
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_110_ri.png,desc,desc,desc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_98_ma.png,asc,asc,asc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_32_ma.png,asc,asc,asc
ga,ga_cluster_6,ma,ri,ma_ri,ga/cluster_6/ma_93_ri.png,desc,desc,desc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_3_ma.png,asc,asc,asc
ga,ga_cluster_6,silence,ma,silence_ma,ga/cluster_6/silence_34_ma.png,from_silence,asc,from_silence
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_150_ma.png,asc,asc,asc
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_7_ma.png,asc,asc,asc
ga,ga_cluster_6,ri,ri,ri_ri,ga/cluster_6/ri_173_ri.png,asc,desc,same
ga,ga_cluster_6,ri,ma,ri_ma,ga/cluster_6/ri_176_ma.png,asc,asc,asc
ga,ga_cluster_1,pa,ri,pa_ri,ga/cluster_1/pa_21_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ma,ma_ma,ga/cluster_1/ma_124_ma.png,desc,asc,same
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_80_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_8_ri.png,desc,desc,desc
ga,ga_cluster_1,pa,ma,pa_ma,ga/cluster_1/pa_160_ma.png,desc,asc,desc
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_5_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_106_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_89_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ma,ma_ma,ga/cluster_1/ma_115_ma.png,desc,asc,same
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_153_ri.png,desc,desc,desc
ga,ga_cluster_1,silence,ma,silence_ma,ga/cluster_1/silence_67_ma.png,from_silence,asc,from_silence
ga,ga_cluster_1,pa,ri,pa_ri,ga/cluster_1/pa_144_ri.png,desc,desc,desc
ga,ga_cluster_1,ma,ri,ma_ri,ga/cluster_1/ma_175_ri.png,desc,desc,desc
ga,ga_cluster_1,pa,ma,pa_ma,ga/cluster_1/pa_46_ma.png,desc,asc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_55_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_59_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_47_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_125_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_158_ri.png,desc,desc,desc
ga,ga_cluster_0,ri,ma,ri_ma,ga/cluster_0/ri_138_ma.png,asc,asc,asc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_137_ri.png,desc,desc,desc
ga,ga_cluster_0,sa,ri,sa_ri,ga/cluster_0/sa_155_ri.png,asc,desc,asc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_142_ri.png,desc,desc,desc
ga,ga_cluster_0,ri,ma,ri_ma,ga/cluster_0/ri_136_ma.png,asc,asc,asc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_30_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_79_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_121_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_105_ri.png,desc,desc,desc
ga,ga_cluster_0,sa,ri,sa_ri,ga/cluster_0/sa_156_ri.png,asc,desc,asc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_25_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_58_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_72_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_27_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_35_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_102_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_114_ri.png,desc,desc,desc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_19_ri.png,desc,desc,desc
ga,ga_cluster_0,pa,ri,pa_ri,ga/cluster_0/pa_36_ri.png,desc,desc,desc
ga,ga_cluster_0,sa,ri,sa_ri,ga/cluster_0/sa_168_ri.png,asc,desc,asc
ga,ga_cluster_0,ma,ri,ma_ri,ga/cluster_0/ma_116_ri.png,desc,desc,desc
ga,ga_cluster_0,ri,ma,ri_ma,ga/cluster_0/ri_140_ma.png,asc,asc,asc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_146_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_82_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_127_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_69_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_119_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_2_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_70_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_134_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_44_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_68_ri.png,desc,desc,desc
ga,ga_cluster_7,pa,ri,pa_ri,ga/cluster_7/pa_135_ri.png,desc,desc,desc
ga,ga_cluster_7,ma,ri,ma_ri,ga/cluster_7/ma_132_ri.png,desc,desc,desc
ga,ga_cluster_2,ma,ri,ma_ri,ga/cluster_2/ma_101_ri.png,desc,desc,desc
ga,ga_cluster_2,ma,ri,ma_ri,ga/cluster_2/ma_113_ri.png,desc,desc,desc
ga,ga_cluster_2,ri,sa,ri_sa,ga/cluster_2/ri_11_sa.png,asc,desc,desc
ga,ga_cluster_2,ri,ma,ri_ma,ga/cluster_2/ri_145_ma.png,asc,asc,asc
ga,ga_cluster_2,ri,sa,ri_sa,ga/cluster_2/ri_120_sa.png,asc,desc,desc
ga,ga_cluster_2,ma,ri,ma_ri,ga/cluster_2/ma_111_ri.png,desc,desc,desc
ga,ga_cluster_2,ri,ma,ri_ma,ga/cluster_2/ri_159_ma.png,asc,asc,asc
ga,ga_cluster_2,ma,ri,ma_ri,ga/cluster_2/ma_96_ri.png,desc,desc,desc
ga,ga_cluster_2,ri,sa,ri_sa,ga/cluster_2/ri_128_sa.png,asc,desc,desc
ga,ga_cluster_2,ri,sa,ri_sa,ga/cluster_2/ri_15_sa.png,asc,desc,desc
ga,ga_cluster_2,ri,ma,ri_ma,ga/cluster_2/ri_118_ma.png,asc,asc,asc
